"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023"","
"Armenia,""ARM"",""Arable land (hectares per person)"",""AG.LND.ARBL.HA.PC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.118336408308167"",""0.125240466033368"",""0.12893805726806"",""0.130914396430461"",""0.13640918876546"",""0.139083418872183"",""0.140408264029254"",""0.140360508167422"",""0.142022008361625"",""0.145222050899212"",""0.146536096027197"",""0.147530788540716"",""0.148414170128305"",""0.149315152107838"",""0.149645496460251"",""0.150479647635978"",""0.150967630783587"",""0.151604293228477"",""0.152225186021893"",""0.153364179153397"",""0.153855602879611"",""0.154477947600887"",""0.154848041302038"",""0.15517987073555"",""0.155766120519848"",""0.156385708870822"",""0.157091854667472"",""0.157696832094709"",""0.158254467480846"",""0.158876435251636"","""","""","
"American Samoa,""ASM"",""Arable land (hectares per person)"",""AG.LND.ARBL.HA.PC"","""",""0.0310287986037041"",""0.0300864986837157"",""0.0291585038042735"",""0.0282485875706215"",""0.0273609507930401"",""0.0265317967001078"",""0.025756600128783"",""0.0249921899406436"",""0.0242460978936202"",""0.0236380424746076"",""0.0231942884064799"",""0.0228058297402273"",""0.0224333134705037"",""0.0220598373086998"",""0.0216413620532242"",""0.0211934565202994"",""0.0207684319833853"",""0.0203640066183021"",""0.0199719144952411"",""0.0194611688864562"",""0.0187909216359846"",""0.0180959651652671"",""0.0174220770382469"",""0.0167679731712429"",""0.0161359453394852"",""0.0155260668106062"",""0.0149386116427804"",""0.0143716877750831"",""0.0138264777048047"",""0.0133840813082939"",""0.0132674722403658"",""0.0133791285594473"",""0.0132879978113886"",""0.0131961444308446"",""0.0131083687571394"",""0.0130275229357798"",""0.0129547662744251"",""0.01289684292352"",""0.0130221898114387"",""0.0130516915679203"",""0.0132021123379741"",""0.0134073602970246"",""0.013634559293074"",""0.0138826224273765"",""0.0141474831452824"",""0.0144272217041716"",""0.0147207491619814"",""0.015029253368163"",""0.0153523823285049"",""0.0156794107458659"",""0.0160191493279322"",""0.0163900839991805"",""0.0167940371733182"",""0.0172357661298045"",""0.0177153091418782"",""0.0182366000634317"",""0.018801932757819"",""0.0194118618866678"",""0.0200756535153526"",""0.0207841693909805"",""0.0215388031531031"","""","""","
"Antigua and Barbuda,""ATG"",""Arable land (hectares per person)"",""AG.LND.ARBL.HA.PC"","""",""0.142234865321362"",""0.12278978388998"",""0.121153380179307"",""0.119323605618437"",""0.100596874790423"",""0.0989853996535511"",""0.097375724231949"",""0.0957579239682084"",""0.0941294593831383"",""0.092998744516949"",""0.0926369096326947"",""0.0772857253265322"",""0.0775638738501156"",""0.0778597900900059"",""0.078082298742875"",""0.0781372089388967"",""0.0779824383548825"",""0.0777254426463959"",""0.0773885991115789"",""0.0770546625776326"",""0.076833241133444"",""0.0766506722263954"",""0.0764432485322896"",""0.061197637771182"",""0.0614930512852048"",""0.0618123377426134"",""0.0621571643901605"",""0.0625175830702385"",""0.0628575020428688"",""0.0631632137443153"",""0.0628594776377408"",""0.0618630043768076"",""0.0607588783911049"",""0.0596374045801527"",""0.0584812421415831"",""0.0573082323275739"",""0.056165576118397"",""0.0551176762387698"",""0.0541851234743501"",""0.053294250882686"",""0.0524831069999344"",""0.0518168275147354"",""0.0512327889849504"",""0.050670754107498"",""0.0500820092902127"",""0.0494468137709376"",""0.0487709715177526"",""0.0480474709012504"",""0.0473182388151513"",""0.0466771690296983"",""0.0461206747454715"",""0.0456235600063873"",""0.0451992722917161"",""0.0448249585369134"",""0.0444735993595802"",""0.0441676604390265"",""0.0438986380447547"",""0.0436557309060747"",""0.0434230380928602"",""0.0431667098333765"",""0.0429097072485223"","""","""","
"Australia,""AUS"",""Arable land (hectares per person)"",""AG.LND.ARBL.HA.PC"","""",""1.37160987312792"",""1.4444045149879"",""1.4048818630137"",""1.4593046386675"",""1.52156965226554"",""1.6123392498498"",""1.63351449275362"",""1.78295136147889"",""1.60124308896681"",""1.47869038138642"",""1.30300687949293"",""1.2936935569553"",""1.11539611360239"",""1.07687823362239"",""0.976966817821925"",""1.03128340340626"",""1.04587091319053"",""1.15858754701212"",""1.18988562766984"",""1.21059079771304"",""1.22131491376549"",""1.280471794222"",""1.25046513223268"",""1.39536904876449"",""1.32775435398034"",""1.29083207696173"",""1.20512492902982"",""1.0970130710051"",""1.04237934876834"",""0.993605204719238"",""0.995600796017782"",""0.928333362416459"",""0.97029692639693"",""1.00210789180043"",""0.935135259425749"",""1.05312731844528"",""1.13466634192832"",""1.14738162676036"",""1.22228775866637"",""1.23355111898269"",""1.25553179787328"",""1.21747854985917"",""1.1784549431393"",""1.29149445820797"",""1.30852971852288"",""1.18468731501485"",""1.11030438328485"",""1.12917668096572"",""1.25124627431575"",""1.1615849853053"",""1.41874959489748"",""1.39166642656542"",""1.34990599542228"",""1.36142134462013"",""1.30545459049685"",""1.24249165192525"",""1.25045806484458"",""1.24078355477478"",""1.20675784392599"",""1.19473288261707"",""1.21722789574098"","""","""","
"Austria,""AUT"",""Arable land (hectares per person)"",""AG.LND.ARBL.HA.PC"","""",""0.238347267028953"",""0.235768873010761"",""0.230775308881463"",""0.229380626625789"",""0.228307707626949"",""0.220702736085689"",""0.216890393626242"",""0.215901954350964"",""0.213007429726027"",""0.212398785818189"",""0.211586402047228"",""0.210492801026908"",""0.199575144853459"",""0.199235745366716"",""0.199369222696213"",""0.200911370988795"",""0.202023405118367"",""0.204567258263188"",""0.201737218397428"",""0.203458988244548"",""0.204658389606683"",""0.202663272661979"",""0.190295837956284"",""0.191101317554316"",""0.191408178601808"",""0.190097643344059"",""0.189977379621804"",""0.192213456603066"",""0.191480697000236"",""0.185729077801728"",""0.186334018105477"",""0.183146702677016"",""0.179492268361053"",""0.179306809702174"",""0.177900169068067"",""0.177157556014769"",""0.176454915329878"",""0.176010672966278"",""0.17541831387216"",""0.174622539463571"",""0.172463251463233"",""0.171369384915065"",""0.169924654829578"",""0.168784353728344"",""0.167808543420142"",""0.16655699527891"",""0.165873323651764"",""0.164513688404104"",""0.16379564832861"",""0.163067573920858"",""0.162018331809397"",""0.160747502577405"",""0.159661351422076"",""0.15816097527414"",""0.155749957276078"",""0.153890476323468"",""0.151057690274787"",""0.150121242854352"",""0.149272741195867"",""0.148591634906622"",""0.147364371925804"","""","""","
"Azerbaijan,""AZE"",""Arable land (hectares per person)"",""AG.LND.ARBL.HA.PC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.230897921309121"",""0.228932059561296"",""0.226892470924301"",""0.22463678536341"",""0.229911116836275"",""0.229796191751985"",""0.228699608239606"",""0.228605430459428"",""0.226822056009741"",""0.226316697899201"",""0.224830058921065"",""0.223278803998008"",""0.221597544091976"",""0.219641676150074"",""0.217017991525773"",""0.216051181056483"",""0.212269210580368"",""0.209449994819633"",""0.208088238867318"",""0.205568858972372"",""0.204049491683542"",""0.204453720536305"",""0.202043423027748"",""0.200811640919313"",""0.20486149968866"",""0.212552566040727"",""0.211061200504519"",""0.209092261261978"",""0.206506986292942"",""0.206061502798945"","""","""","
"Burundi,""BDI"",""Arable land (hectares per person)"",""AG.LND.ARBL.HA.PC"","""",""0.239704087966784"",""0.242432806284412"",""0.24557915127981"",""0.245283808861933"",""0.242452697671107"",""0.235800459576035"",""0.240647941528658"",""0.23863522130583"",""0.289683331148054"",""0.268737738840665"",""0.259347248937067"",""0.250335620160399"",""0.260398437609374"",""0.25409613905015"",""0.248050800804005"",""0.244068674399076"",""0.239851628088408"",""0.231469447270765"",""0.224776836481136"",""0.215635473101909"",""0.207092679318322"",""0.202074149914249"",""0.196762682624332"",""0.192058762546807"",""0.187953817523925"",""0.184461370813768"",""0.180310517977831"",""0.176408995720659"",""0.173065210040685"",""0.169590646474074"",""0.166224949185212"",""0.161933873519197"",""0.167410111570739"",""0.1664754883639"",""0.158441662201365"",""0.15850246867595"",""0.160368354293196"",""0.157406210752004"",""0.155335281496655"",""0.152195925619949"",""0.150795061160157"",""0.148294359189392"",""0.144297073567895"",""0.138333059944139"",""0.129383719359675"",""0.122613829116279"",""0.118570970578917"",""0.11415650603296"",""0.108848336377183"",""0.104091280383012"",""0.10575594721213"",""0.104844285817978"",""0.103846692330134"",""0.103002283106111"",""0.103289336550591"",""0.104096667008153"",""0.104162996982769"",""0.103450027981101"",""0.102401396970637"",""0.101716604773381"",""0.101185439208147"","""","""","
"Belgium,""BEL"",""Arable land (hectares per person)"",""AG.LND.ARBL.HA.PC"","""",""0.109647833371879"",""0.108886883230097"",""0.107752936832666"",""0.106417996882742"",""0.105244616066901"",""0.104326210637978"",""0.103329603378189"",""0.102819948858252"",""0.102425536220489"",""0.102221013015417"",""0.102034887868104"",""0.101636114905446"",""0.101111508029383"",""0.100589219516683"",""0.10019692470946"",""0.0999162068670851"",""0.0993860040499034"",""0.0986835352162003"",""0.0976810200904067"",""0.0772878888661015"",""0.0770870663928588"",""0.076905103262349"",""0.0770126791889215"",""0.0773182382156655"",""0.0774980858784286"",""0.0775718647556339"",""0.0776070759821905"",""0.0774617276449696"",""0.0771808599115067"",""0.0768506946510211"",""0.075965921687531"",""0.0828259744645131"",""0.0833955163754187"",""0.0929257504471063"",""0.0862204099494407"",""0.0848706121918111"",""0.0854512390184108"",""0.0855630025968812"",""0.0853671260682747"",""0.0840873064260456"",""0.082145943691629"",""0.0805204018084185"",""0.0804731396561706"",""0.080605408027934"",""0.0804495478744953"",""0.0798258771982217"",""0.0789595038444526"",""0.0788050539436467"",""0.0778030421545218"",""0.0765447585838889"",""0.0747400134658856"",""0.072297192420013"",""0.073122165003929"",""0.0728874873238668"",""0.0735750912969759"",""0.0749597005565586"",""0.0734934846619273"",""0.0743848764519709"",""0.0746181123128424"",""0.0749550465550252"",""0.0747130529047716"","""","""","
"Benin,""BEN"",""Arable land (hectares per person)"",""AG.LND.ARBL.HA.PC"","""",""0.360612351129814"",""0.362472245808625"",""0.36390074303983"",""0.364906563440309"",""0.36551805056065"",""0.369355406681819"",""0.376265191707115"",""0.379151101365013"",""0.39849167523874"",""0.396898502799623"",""0.404742808610725"",""0.405524254152188"",""0.402803512446629"",""0.402874524880682"",""0.405481038138007"",""0.404585806725314"",""0.403219666743175"",""0.398688233225468"",""0.393849095245572"",""0.391242531506109"",""0.388170294621254"",""0.382302124736551"",""0.373963868378143"",""0.365705660517998"",""0.357502298875542"",""0.349344440875321"",""0.341239642577067"",""0.333221293709941"",""0.325322109051184"",""0.314605139381765"",""0.306061953740814"",""0.298656339631257"",""0.289160123031499"",""0.286997623322035"",""0.29603849228092"",""0.314320439210427"",""0.328791522063633"",""0.341728047352268"",""0.338803836850338"",""0.340096052842353"",""0.339709660552401"",""0.343120890370454"",""0.345988775862987"",""0.335674440886718"",""0.325667388067787"",""0.297525858269868"",""0.289092170794267"",""0.280694852247282"",""0.272553413382634"",""0.264670416517128"",""0.257032935172181"",""0.259634486569807"",""0.261913931202001"",""0.254360780054799"",""0.246963650517896"",""0.248665973658281"",""0.24144635333656"",""0.234492449050025"",""0.227819271622734"",""0.221464269547959"",""0.215436071461684"","""","""","
"Burkina Faso,""BFA"",""Arable land (hectares per person)"",""AG.LND.ARBL.HA.PC"","""",""0.43768248361318"",""0.433343750640928"",""0.42891400534262"",""0.423355596439873"",""0.418578852093544"",""0.413901205787674"",""0.408958594443078"",""0.403901131642445"",""0.399220631403145"",""0.394891641804769"",""0.385437944228181"",""0.393090224886539"",""0.39829092062585"",""0.404277666475412"",""0.40824678045446"",""0.406713808252781"",""0.40520097266935"",""0.402871546763733"",""0.400003614847482"",""0.395934381340629"",""0.391648757041606"",""0.387881860472612"",""0.383073896481616"",""0.37799252684263"",""0.373471726749035"",""0.368550652931647"",""0.364552632864319"",""0.403290965081974"",""0.39684172445604"",""0.383842014350325"",""0.371593830004792"",""0.359950013309295"",""0.348574578953921"",""0.333060621987986"",""0.326467124422513"",""0.32764628512194"",""0.346873226920336"",""0.348181239584136"",""0.346467359497341"",""0.34427657653594"",""0.341802503297206"",""0.339052311188117"",""0.335978621384095"",""0.332738930016019"",""0.32934261844101"",""0.325853670257879"",""0.322624932286712"",""0.31958331126342"",""0.316421280430149"",""0.313212666623027"",""0.309769807243434"",""0.306128435340696"",""0.302499239074079"",""0.298846847429934"",""0.295223549030482"",""0.291665616110152"",""0.288215412713682"",""0.285052663148516"",""0.28203044162798"",""0.278962241875132"",""0.276009569478011"","""","""","
